,storm_code,storm_name,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
0,SHEM_17_18,Donna,0,0,7.279569342828122,8.458224339169767,0,0,6.064649793362131,7.23423865142269,2,0,5.456491797185704,6.869271445048579,158,0.0,0.0,0.0,0.0,1.27,0.0
1,EPAC_14_7,Genevieve,0,0,6.340359303727753,7.438971592395863,0,0,4.937563328758572,5.861340829724716,0,0,4.265152321068948,5.350360980467795,23,0.0,0.0,0.0,0.0,0.0,0.0
2,SHEM_20_2,Belna,5,2,2.7204727211007667,3.125937829208931,8,2,2.525728644308255,2.9838740102453327,5,2,2.829049769961755,3.587362836512443,80,6.25,2.5,10.0,2.5,6.25,2.5
3,SHEM_20_25,Harold,0,0,6.028248771164074,6.875546631551279,4,0,5.401174751987744,6.303528572677666,4,0,5.408573880058899,6.724197366507676,155,0.0,0.0,2.58,0.0,2.58,0.0
4,WPAC_12_5,Guchol,0,0,6.637683875882665,7.655867505487947,0,0,5.478681973681423,6.501778876821806,5,0,4.917586009619551,6.118076409424868,148,0.0,0.0,0.0,0.0,3.38,0.0
5,ATL_18_14,Michael,0,0,7.012607932366414,8.088747365182465,0,0,5.554508771908447,6.540776486777034,2,0,5.330352352465946,6.657977895902351,87,0.0,0.0,0.0,0.0,2.3,0.0
6,IO_18_5,Luban,0,0,0.6931471805599453,0.6931471805599453,0,0,0.6931471805599453,0.6931471805599453,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0
7,SHEM_12_16,Koji,0,0,7.279569342828122,8.458224339169767,0,0,5.481680047850402,6.505526469533029,2,0,5.051525910236542,6.326662381056332,105,0.0,0.0,0.0,0.0,1.9,0.0
8,EPAC_13_7,Gil,0,0,5.967748020490667,6.884038752364822,0,0,5.6067207618130706,6.661827361986365,1,0,4.967779914496241,6.221870935511944,57,0.0,0.0,0.0,0.0,1.75,0.0
9,EPAC_15_12,Ignacio,0,0,7.697354274501149,8.899099903652395,0,0,6.470023598610734,7.699116492112029,2,0,5.813648656329333,7.295533363768513,104,0.0,0.0,0.0,0.0,1.92,0.0
10,SHEM_15_17,Pam,0,0,6.825960728312534,7.984697581056432,0,0,6.068425588244111,7.310878913138111,1,0,5.3796364924295865,6.851720546620439,110,0.0,0.0,0.0,0.0,0.91,0.0
11,IO_19_4,Kyarr,3,1,4.1588830833596715,4.852030263919617,1,0,4.51085950651685,5.465287588006076,4,0,4.097176140064122,5.257765173542624,67,4.48,1.49,1.49,0.0,5.97,0.0
12,SHEM_19_21,Veronica,8,3,2.7204727211007667,3.125937829208931,6,2,2.8903717578961645,3.439677902230219,5,0,2.953099803300031,3.753805713053814,81,9.88,3.7,7.41,2.47,6.17,0.0
13,SHEM_20_20,Ferdinand,3,0,4.852030263919616,5.545177444479561,4,1,4.33729074083249,5.07503983576064,4,0,4.483379452198905,5.631918786892647,95,3.16,0.0,4.21,1.05,4.21,0.0
14,CPAC_18_1,Walaka,4,0,3.6527404074980634,4.163566031264054,5,0,3.5065578973199822,4.108544299482951,5,0,3.3747997185787817,4.2107269612403835,133,3.01,0.0,3.76,0.0,3.76,0.0
15,SHEM_18_4,Irving,5,5,0.6931471805599453,0.6931471805599453,2,1,2.3025850929940455,2.704944571102571,1,0,2.777081251353008,3.5519740716775914,11,45.45,45.45,18.18,9.09,9.09,0.0
16,SHEM_20_7,Claudia,0,0,5.335101590604128,6.182399450991332,4,0,4.795790545596741,5.648164591715954,3,0,4.822199126704344,6.111897963761246,65,0.0,0.0,6.15,0.0,4.62,0.0
17,SHEM_14_23,Ita,8,3,4.1588830833596715,4.852030263919617,8,5,3.859342747599233,4.650891639359054,8,1,4.000592666001305,5.131366961845882,146,5.48,2.05,5.48,3.42,5.48,0.68
18,ATL_14_6,Edouard,1,0,5.27460083993072,6.190891571804875,3,1,4.68213122712422,5.578010961738247,2,0,4.796868662788624,6.147026965549962,71,1.41,0.0,4.23,1.41,2.82,0.0
19,IO_18_2,Mekunu,1,0,3.550685421197425,4.041100047703289,0,0,3.6694440669194397,4.312152011482272,0,0,3.72743084974081,4.676908718494865,16,6.25,0.0,0.0,0.0,0.0,0.0
20,ATL_18_16,Oscar,0,0,7.772380183004752,8.992882289281898,0,0,6.480101956351554,7.7256609112451935,1,0,5.810214440153631,7.272181060506831,115,0.0,0.0,0.0,0.0,0.87,0.0
21,WPAC_20_19,Saudel,0,0,6.2972161428677005,7.336936913707618,3,0,5.236215564818384,6.270616383855953,4,0,5.0399286536396914,6.391967167285575,86,0.0,0.0,3.49,0.0,4.65,0.0
22,EPAC_13_5,Erick,7,5,2.7204727211007667,3.125937829208931,4,2,3.465735902799726,4.158883083359671,2,0,4.205394928630652,5.465819585902796,29,24.14,17.24,13.79,6.9,6.9,0.0
23,WPAC_10_4,Chanthu,0,0,6.87935580446044,7.977968093128549,0,0,4.8684703393873,5.792954722538862,1,0,4.649584232839982,5.815708281532773,34,0.0,0.0,0.0,0.0,2.94,0.0
24,SHEM_10_12,Oli,0,0,7.23085869490639,8.518712983213028,1,0,5.52603988675463,6.596936527219787,1,0,5.219818680742901,6.658870252454671,39,0.0,0.0,2.56,0.0,2.56,0.0
25,SHEM_11_11,Yasi,0,0,5.68181748107769,6.502798033147521,2,0,4.828313737302301,5.63303269351935,3,0,4.67615235775158,5.82379461309851,81,0.0,0.0,2.47,0.0,3.7,0.0
26,ATL_17_15,Maria,4,1,4.1588830833596715,4.852030263919617,4,0,4.102643365036796,4.955017411156009,9,1,3.761648242838442,4.773138361600035,191,2.09,0.52,2.09,0.0,4.71,0.52
27,EPAC_15_9,Guillermo,0,0,5.335101590604128,6.182399450991332,2,0,4.446565155811452,5.2835533725972885,4,0,4.1423891411623535,5.179235519293069,81,0.0,0.0,2.47,0.0,4.94,0.0
28,SHEM_10_21,Imani,1,0,2.7204727211007667,3.125937829208931,0,0,2.8903717578961645,3.439677902230219,1,0,2.454408051496017,3.030984332438108,33,3.03,0.0,0.0,0.0,3.03,0.0
29,EPAC_16_14,Madeline,5,0,6.120541589383125,7.10137084239485,5,0,6.191953407857386,7.337582281713207,5,0,6.198039974450376,7.9209919444640615,99,5.05,0.0,5.05,0.0,5.05,0.0
30,SHEM_18_20,Fakir,0,0,4.8283137373023015,5.633032693519351,0,0,3.800451229771041,4.577277242073816,1,0,3.330444325103414,4.187321017906583,14,0.0,0.0,0.0,0.0,7.14,0.0
31,SHEM_17_17,Frances,0,0,6.794061527046422,7.972716523388067,0,0,6.068425588244111,7.310878913138111,2,0,5.138667708859249,6.53772502276944,61,0.0,0.0,0.0,0.0,3.28,0.0
32,WPAC_12_3,Sanvu,3,3,0.6931471805599453,0.6931471805599453,1,0,2.0794415416798357,2.4260151319598084,0,0,2.2692973653569846,2.8509173321914925,7,42.86,42.86,14.29,0.0,0.0,0.0
33,WPAC_12_18,Jelawat,7,1,4.1588830833596715,4.852030263919617,7,5,3.697178256928632,4.346819748993762,7,1,4.073307359680383,5.198782611179509,97,7.22,1.03,7.22,5.15,7.22,1.03
34,SHEM_20_15,Uesi,1,0,2.7204727211007667,3.125937829208931,1,0,2.525728644308255,2.9838740102453327,1,0,2.48889807196678,3.1111987998335726,21,4.76,0.0,4.76,0.0,4.76,0.0
35,SHEM_19_3,Alcide,0,0,4.1588830833596715,4.852030263919617,1,0,2.8903717578961645,3.439677902230219,2,0,2.7136130433537238,3.3805693351301525,64,0.0,0.0,1.56,0.0,3.12,0.0
36,ATL_20_9,Isaias,0,0,9.566711973364121,11.055660488544095,0,0,8.026061256550982,9.584636703381712,6,0,7.143661639957846,8.966622947161621,203,0.0,0.0,0.0,0.0,2.96,0.0
37,EPAC_12_7,Gilma,2,1,2.7204727211007667,3.125937829208931,0,0,4.852030263919617,5.891751034759535,0,0,4.145910871499797,5.3673071162447705,5,40.0,20.0,0.0,0.0,0.0,0.0
38,IO_13_6,Madi,0,0,3.6527404074980634,4.163566031264054,0,0,3.060270794691562,3.550685421197425,0,0,2.926542850139783,3.5807458326879886,25,0.0,0.0,0.0,0.0,0.0,0.0
39,SHEM_19_12,Funani,0,0,4.8224384870796335,5.42857429064995,1,0,4.382026634673881,5.075173815233827,1,0,4.395246313184693,5.454042839279934,33,0.0,0.0,3.03,0.0,3.03,0.0
40,EPAC_16_5,Darby,0,0,5.7304047319156055,6.737856242186737,2,0,4.840172000610959,5.775561928596671,2,0,4.842207951170193,6.216994572970317,42,0.0,0.0,4.76,0.0,4.76,0.0
41,SHEM_18_12,Hola,0,0,8.106449531363744,9.142869960187983,0,0,7.107505880414259,8.224618018114008,0,0,6.855394225275944,8.364648247917621,178,0.0,0.0,0.0,0.0,0.0,0.0
42,EPAC_17_9,Hilary,0,0,2.7204727211007667,3.125937829208931,1,0,2.525728644308255,2.9838740102453327,1,0,2.343750456503463,2.909583140466223,29,0.0,0.0,3.45,0.0,3.45,0.0
43,WPAC_14_15,Kalmaegi,0,0,5.772496081424606,6.666313957446702,0,0,4.795790545596741,5.648164591715954,0,0,4.373332045462392,5.463073255099472,65,0.0,0.0,0.0,0.0,0.0,0.0
44,EPAC_19_6,Erick,0,0,5.986781599203601,6.862250336557501,4,0,5.0106352940962555,5.815354250313306,4,0,5.047547935498888,6.285002923011245,133,0.0,0.0,3.01,0.0,3.01,0.0
45,EPAC_16_17,Paine,0,0,2.4260151319598084,2.772588722239781,0,0,2.1910133173369406,2.5654798515311894,0,0,2.042409765814157,2.515861319387001,4,0.0,0.0,0.0,0.0,0.0,0.0
46,EPAC_18_17,Olivia,0,0,8.255033082492425,9.659027020711715,0,0,6.99301512293296,8.394695313386226,0,0,5.68665576337322,7.128875159979913,53,0.0,0.0,0.0,0.0,0.0,0.0
47,ATL_14_1,Arthur,4,0,5.7304047319156055,6.737856242186737,0,0,7.8366464574313,9.622521276649138,3,0,6.320586120354628,8.229394634829323,66,6.06,0.0,0.0,0.0,4.55,0.0
48,SHEM_16_15,Emeraude,4,0,4.1588830833596715,4.852030263919617,4,4,3.697178256928632,4.346819748993762,4,0,3.926248827096214,5.0079524601895065,79,5.06,0.0,5.06,5.06,5.06,0.0
49,IO_17_3,Ockhi,2,0,6.242778975388888,7.316996181972282,9,2,5.2574953720277815,6.2972161428677005,9,0,5.364946093391742,6.911147701715127,110,1.82,0.0,8.18,1.82,8.18,0.0
50,SHEM_19_25,Lorna,0,0,7.1904149826497505,8.311006178036635,0,0,5.913503005638271,7.045305166767865,0,0,5.1460065469570075,6.425836189299589,99,0.0,0.0,0.0,0.0,0.0,0.0
51,IO_10_1,Laila,0,0,6.757534998339893,7.7871544155210515,0,0,5.865050622252323,6.883373410508391,0,0,5.296418890518127,6.574623225546873,115,0.0,0.0,0.0,0.0,0.0,0.0
52,SHEM_19_16,Pola,4,2,2.7204727211007667,3.125937829208931,0,0,4.722953221644475,5.730404731915607,0,0,3.7848890128294785,4.876256361302829,17,23.53,11.76,0.0,0.0,0.0,0.0
53,SHEM_20_3,Ambali,2,2,2.7204727211007667,3.125937829208931,3,2,2.525728644308255,2.9838740102453327,2,0,2.8318629809528804,3.5989930517915587,40,5.0,5.0,7.5,5.0,5.0,0.0
54,ATL_19_10,Jerry,0,0,10.942934979382636,12.718820099453401,0,0,9.263756743925084,11.059835544486397,0,0,7.760831146198931,9.735643483217292,192,0.0,0.0,0.0,0.0,0.0,0.0
55,EPAC_20_8,Douglas,6,6,1.7068099508303562,1.9095425048844386,1,0,2.4141568686511503,2.8444092906739518,2,0,2.3794022340175873,2.9907668343957683,34,17.65,17.65,2.94,0.0,5.88,0.0
56,WPAC_12_10,Saola,0,0,4.108544299482949,4.710530701645917,2,0,3.541044179257261,4.22767685967483,2,0,3.548091016995114,4.4739543640306145,26,0.0,0.0,7.69,0.0,7.69,0.0
57,WPAC_17_21,Doksuri,2,1,2.7204727211007667,3.125937829208931,2,0,2.8903717578961645,3.439677902230219,2,0,2.702944257733635,3.3984024642503545,29,6.9,3.45,6.9,0.0,6.9,0.0
58,SHEM_13_13,Felleng,1,0,3.0081547935525483,3.413619901660713,5,1,2.6390573296152584,3.024168589852046,2,0,2.9236420981422784,3.604032640862325,55,1.82,0.0,9.09,1.82,3.64,0.0
59,ATL_10_13,Karl,0,0,6.275592185035179,7.268843958045462,4,0,5.2053793708887675,6.160150623330987,3,0,5.2785188287850495,6.685786236170838,65,0.0,0.0,6.15,0.0,4.62,0.0
60,SHEM_19_20,Trevor,0,0,7.624618986159398,9.010913347279288,0,0,6.041444479413003,7.3785188041262675,3,0,5.1383816429459985,6.584853863415226,97,0.0,0.0,0.0,0.0,3.09,0.0
61,ATL_20_27,Epsilon,0,0,7.595027209319415,8.894310193449677,0,0,5.982687967484187,7.203706887188208,1,0,5.2393702121303525,6.620896017027464,72,0.0,0.0,0.0,0.0,1.39,0.0
62,SHEM_10_3,Cleo,0,0,4.1588830833596715,4.852030263919617,2,0,3.465735902799726,4.158883083359671,2,0,3.290272507799229,4.14487554217384,50,0.0,0.0,4.0,0.0,4.0,0.0
63,WPAC_16_12,Lionrock,0,0,5.335101590604128,6.182399450991332,1,0,4.567814399444323,5.435114927138376,3,0,4.1468402900732855,5.209828377547799,101,0.0,0.0,0.99,0.0,2.97,0.0
64,SHEM_12_10,Jasmine,3,0,4.1588830833596715,4.852030263919617,0,0,5.0288923251075985,6.112828611244511,2,0,4.46465926732209,5.734029670125473,56,5.36,0.0,0.0,0.0,3.57,0.0
65,IO_20_4,Nivar,1,0,5.335101590604128,6.182399450991332,4,0,4.91900287823256,5.856120396095437,4,0,4.928103413936587,6.259386555448533,62,1.61,0.0,6.45,0.0,6.45,0.0
66,EPAC_11_11,Irwin,0,0,10.96240852709412,12.785568446941689,0,0,9.045239974541722,10.829706848402527,0,0,7.906256261716205,9.996606439374252,48,0.0,0.0,0.0,0.0,0.0,0.0
67,WPAC_17_24,Khanun,2,0,4.716741961645196,5.521460917862246,1,0,5.17237614319019,6.19081710682071,2,0,4.88643179601587,6.263801211012655,38,5.26,0.0,2.63,0.0,5.26,0.0
68,ATL_10_20,Shary,0,0,6.59167373200866,7.690286020676769,0,0,6.278521424165845,7.573498708040279,1,0,5.5123821908888235,7.0268594066549,39,0.0,0.0,0.0,0.0,2.56,0.0
69,WPAC_19_19,Mitag,4,4,2.7204727211007667,3.125937829208931,3,3,3.7485111645273452,4.461669022005674,1,0,4.792639293989913,6.2641707197026895,19,21.05,21.05,15.79,15.79,5.26,0.0
70,WPAC_20_10,Maysak,0,0,5.954982604159606,6.976519552914087,2,0,4.68213122712422,5.578010961738247,2,0,4.426218752284328,5.626911831566514,74,0.0,0.0,2.7,0.0,2.7,0.0
71,ATL_20_19,Sally,0,0,8.901160577967946,10.359505111074714,0,0,7.9230377172060695,9.417319609243759,1,0,7.225276250253929,9.121601608729183,106,0.0,0.0,0.0,0.0,0.94,0.0
72,WPAC_11_8,Ma-On,11,11,0.6931471805599453,0.6931471805599453,0,0,3.091042453358316,3.6905162715579087,0,0,2.890188907600189,3.684846044097458,23,47.83,47.83,0.0,0.0,0.0,0.0
73,WPAC_13_29,Krosa,2,0,4.1588830833596715,4.852030263919617,4,2,3.498569420058412,4.149241841419508,3,0,3.9211091759561407,5.014056312072196,35,5.71,0.0,11.43,5.71,8.57,0.0
74,EPAC_16_15,Newton,0,0,7.5322470359409595,8.539698546212092,0,0,6.025280664162919,6.921769265056271,0,0,5.739306291818142,6.969430624383559,16,0.0,0.0,0.0,0.0,0.0,0.0
75,EPAC_16_7,Frank,0,0,7.355006437015553,8.485887986252447,0,0,6.034523799177046,7.129400173563161,0,0,5.904155414287324,7.421014541338714,66,0.0,0.0,0.0,0.0,0.0,0.0
76,ATL_18_8,Helene,0,0,5.513511020103391,6.321345251195759,0,0,4.652799258057107,5.445566195948233,0,0,4.547939615048207,5.652540021431662,8,0.0,0.0,0.0,0.0,0.0,0.0
77,ATL_18_2,Beryl,0,0,8.04985561010431,9.140099649101902,0,0,6.940835738294364,8.144982767611785,0,0,6.654653566288577,8.275332395982865,43,0.0,0.0,0.0,0.0,0.0,0.0
78,ATL_17_13,Katia,0,0,5.27460083993072,6.190891571804875,5,1,3.9120230054281464,4.716741961645196,4,0,4.128977693623676,5.2956686910212465,45,0.0,0.0,11.11,2.22,8.89,0.0
79,SHEM_16_19,Fantala,5,3,2.7204727211007667,3.125937829208931,13,8,2.0794415416798357,2.4260151319598084,6,3,2.494251320026878,3.1268537004898267,153,3.27,1.96,8.5,5.23,3.92,1.96
80,EPAC_15_19,Olaf,0,0,6.897189362078098,8.011136462274326,0,0,5.833423773621243,6.945206126746581,0,0,5.033171437943711,6.320622958352576,88,0.0,0.0,0.0,0.0,0.0,0.0
81,EPAC_19_2,Barbara,0,0,6.108446942080879,7.004326676694907,1,0,4.5524899281591775,5.344038819919,1,0,4.3472558005914,5.385805671920654,58,0.0,0.0,1.72,0.0,1.72,0.0
82,WPAC_10_15,Megi,1,0,5.967748020490667,6.884038752364822,2,0,5.416100402204421,6.423551912475553,7,0,5.042576119153571,6.323597961855304,213,0.47,0.0,0.94,0.0,3.29,0.0
83,WPAC_18_25,Jebi,4,0,4.1588830833596715,4.852030263919617,5,0,4.105394398408686,4.857089925843829,5,0,4.074380652765557,5.18058256690487,139,2.88,0.0,3.6,0.0,3.6,0.0
84,IO_18_7,Gaja,0,0,6.855075021153224,8.006367567650248,1,0,5.953487835131547,7.095286203634461,2,0,5.373681772187164,6.795819653652368,124,0.0,0.0,0.81,0.0,1.61,0.0
85,WPAC_20_16,Chan-Hom,0,0,6.828193538958447,7.959595650449548,0,0,5.5402706337554,6.701368358540743,0,0,5.079668059861939,6.4609347300810605,19,0.0,0.0,0.0,0.0,0.0,0.0
86,SHEM_19_6,Kenanga,4,3,2.537022650927015,2.8247047233787956,3,2,2.793208009442517,3.216856939636119,2,0,3.0005273084883948,3.7205952577329082,43,9.3,6.98,6.98,4.65,4.65,0.0
87,SHEM_16_13,Uriah,0,0,4.1588830833596715,4.852030263919617,1,1,3.3218948665738353,3.9790817880773077,1,0,3.292463090989388,4.170352142174062,26,0.0,0.0,3.85,3.85,3.85,0.0
88,WPAC_11_22,Nalgae,0,0,6.87935580446044,7.977968093128549,0,0,6.312188426761056,7.543661943171347,2,0,5.546234283512309,6.994636372311234,87,0.0,0.0,0.0,0.0,2.3,0.0
89,ATL_19_2,Barry,0,0,5.939765125854185,6.904846021897772,1,0,4.567814399444323,5.435114927138376,3,0,4.3615643671892945,5.489521451164391,49,0.0,0.0,2.04,0.0,6.12,0.0
90,SHEM_19_18,Idai,1,0,3.4396779022302186,3.988984046564273,1,0,3.453877639491069,4.042693977196809,1,0,3.5454537402870585,4.479653787416076,14,7.14,0.0,7.14,0.0,7.14,0.0
91,ATL_16_5,Earl,0,0,6.87935580446044,7.977968093128549,1,0,6.490419998303486,7.710665519770833,3,0,6.035921394816128,7.614825041085714,99,0.0,0.0,1.01,0.0,3.03,0.0
92,SHEM_15_21,Ikola,0,0,7.118476310297791,8.322449114623726,0,0,7.090076835776092,8.587942972553087,0,0,5.539599559643609,7.0280210020616085,69,0.0,0.0,0.0,0.0,0.0,0.0
93,IO_19_5,Maha,0,0,8.030084094267563,9.416378455387454,2,0,6.685028307553143,8.081632312274403,5,0,5.968312904835962,7.641043937546959,121,0.0,0.0,1.65,0.0,4.13,0.0
94,WPAC_19_25,Nakri,0,0,5.27460083993072,6.190891571804875,1,0,4.436751534363128,5.3726526228139235,1,0,4.238875481460524,5.423192360059533,37,0.0,0.0,2.7,0.0,2.7,0.0
95,ATL_19_18,Pablo,0,0,6.186208623900493,7.284820912568602,0,0,5.2574953720277815,6.2972161428677005,0,0,4.756940819319254,6.063573415527462,21,0.0,0.0,0.0,0.0,0.0,0.0
96,IO_19_3,Hikaa,1,1,2.537022650927015,2.8247047233787956,2,1,2.322996090254173,2.6797751791642095,1,1,2.7818776198385864,3.4775997921888284,23,4.35,4.35,8.7,4.35,4.35,4.35
97,WPAC_13_28,Lekima,0,0,8.460669869980055,9.79196378349278,0,0,6.505936111248735,7.785846548780945,0,0,5.645977750856794,7.096644072069649,88,0.0,0.0,0.0,0.0,0.0,0.0
98,ATL_20_20,Twenty,1,0,4.1588830833596715,4.852030263919617,3,1,3.3322045101752034,3.991968842579018,3,1,3.3756690249439734,4.2823677273687775,67,1.49,0.0,4.48,1.49,4.48,1.49
99,ATL_20_20,Teddy,1,0,4.1588830833596715,4.852030263919617,3,1,3.3322045101752034,3.991968842579018,3,1,3.3756690249439734,4.2823677273687775,67,1.49,0.0,4.48,1.49,4.48,1.49
100,WPAC_12_12,Haikui,0,0,0.6931471805599453,0.6931471805599453,0,0,0.6931471805599453,0.6931471805599453,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0
101,WPAC_19_2,Wutip,0,0,9.148223400981477,10.61603757572362,0,0,7.63221033087248,9.053785376326772,2,0,6.964226035989046,8.767725991304832,148,0.0,0.0,0.0,0.0,1.35,0.0
102,ATL_16_9,Hermine,6,4,4.564348191467836,5.2574953720277815,4,3,5.493061443340549,6.591673732008658,4,1,5.847887876083304,7.602352460788128,49,12.24,8.16,8.16,6.12,8.16,2.04
103,ATL_17_7,Franklin,0,0,6.145198647050024,7.195020771548702,0,0,5.087596335232384,6.186208623900493,1,0,4.329667513607291,5.497910318814236,43,0.0,0.0,0.0,0.0,2.33,0.0
104,WPAC_13_19,Pabuk,0,0,6.956962023036786,8.209724991532154,0,0,7.086195140467174,8.633773991930461,0,0,6.588208014568253,8.539043554761061,27,0.0,0.0,0.0,0.0,0.0,0.0
105,WPAC_14_11,Halong,2,0,5.27460083993072,6.190891571804875,7,3,4.142448384485547,4.903407408439906,6,1,4.363778593217948,5.571737981251852,106,1.89,0.0,6.6,2.83,5.66,0.94
106,ATL_17_14,Lee,0,0,5.971261839790463,6.944216914318119,2,1,4.797931040257348,5.6688203395699475,5,1,4.521377778265697,5.6817767774900405,152,0.0,0.0,1.32,0.66,3.29,0.66
107,ATL_10_7,Earl,0,0,6.591673732008658,7.690286020676767,4,0,5.417580787374854,6.4973229120515406,7,1,4.925666947847199,6.216233106807372,191,0.0,0.0,2.09,0.0,3.66,0.52
108,SHEM_11_10,Bianca,0,0,6.792344427470809,7.890956716138918,1,0,5.565796731682298,6.682592842435845,1,0,4.976226515186352,6.281576972080773,45,0.0,0.0,2.22,0.0,2.22,0.0
109,ATL_10_12,Julia,0,0,6.186208623900493,7.284820912568602,1,0,5.295814236329917,6.44648100027241,3,0,4.750062695052067,6.073002014468129,83,0.0,0.0,1.2,0.0,3.61,0.0
110,SHEM_10_8,Magda,0,0,7.0933504706640385,8.292298107063225,0,0,6.69980817454921,8.028186627906539,1,0,5.907834201858515,7.541625921261687,36,0.0,0.0,0.0,0.0,2.78,0.0
111,ATL_20_29,Twenty-Nin,0,0,11.56672362959945,13.39042514670398,0,0,9.774168688339289,11.581476190288324,0,0,8.659291347035301,10.852507824931195,192,0.0,0.0,0.0,0.0,0.0,0.0
112,ATL_20_29,Eta,0,0,11.56672362959945,13.39042514670398,0,0,9.774168688339289,11.581476190288324,0,0,8.659291347035301,10.852507824931195,192,0.0,0.0,0.0,0.0,0.0,0.0
113,EPAC_11_10,Jova,0,0,10.223270901139617,11.946037498880722,0,0,8.230523939222149,9.885795445919161,0,0,6.9992975126098695,8.822180663929192,145,0.0,0.0,0.0,0.0,0.0,0.0
114,WPAC_15_22,Mujigae,0,0,4.1588830833596715,4.852030263919617,2,0,3.1986731175506815,3.8250546017983655,2,0,3.185236761797539,4.014728423786106,27,0.0,0.0,7.41,0.0,7.41,0.0
115,SHEM_13_21,Imelda,0,0,5.172754143572691,5.890296406217352,5,0,4.703164059766976,5.476595596600196,5,0,4.650537046315051,5.796969544293768,130,0.0,0.0,3.85,0.0,3.85,0.0
116,WPAC_13_26,Francisco,0,0,7.176582462452609,8.209597468634906,0,0,6.003887067106539,7.102499355774649,0,0,5.393396277025977,6.660051748710526,145,0.0,0.0,0.0,0.0,0.0,0.0
117,SHEM_18_6,Berguitta,0,0,7.629718513948996,8.987841998102189,0,0,6.068425588244111,7.310878913138111,2,0,5.43164054792727,6.926377182506137,49,0.0,0.0,0.0,0.0,4.08,0.0
118,ATL_15_11,Joaquin,0,0,6.2325784721862,7.097575909672804,3,0,5.342249913599089,6.191334854735032,3,0,5.257116225865786,6.4753349927443935,216,0.0,0.0,1.39,0.0,1.39,0.0
